"Access Denied";"Acesso negado"
"Enter Dispute message here..";"Escreva aquí a sua mensagem de litígio.."
"Replace Different Item";"Substituir artigo diferente"
Done;Concluído
"Search for keyword: Store Name";"Pesquisar por palavra-chave: Nome de loja"
"Supplier Name";"Nome de Fornecedor"
"Commission Amount";"Valor de comissão"
PHP;PHP
"Supplier Payout Amount";"Valor de desembolso de fornecedor"
"Search By Invoice No. / Buyer";"Pesquisar por número de fatura / Comprador"
"Order Status:";"Estado da encomenda:"
"Payment Type:";"Tipo de pagamento:"
Actions:;Ações:
"Cancel Request By Buyer";"Cancelar solicitação por comprador"
"Cancel Product";"Cancelar produto"
None;Nenhum caso encontrado
"Collected Amount";"Valor arrecadado"
"Transaction Price";"Preço de transacção"
"Consignee Name";"Nome do destinatário"
"Consignee Contact Number";"Número de telefone do destinatário"
"Buyer Details";"Informação de comprador"
"Shipping Address";"Endereço de entrega"
"Freight Charge";"Tarifas de frete"
"Additional Charge";"Tarifas adicionais"
"Seller Net";"Líquido do vendedor"
"Voucher Details";"Detalhes de vale"
Attributes;Atributos-chave
"Cancel Transaction";"Cancelar a transacção "
Deny;Rejeitar
"Seller Details";"Detalhes do vendedor"
"Store Address";"Endereço de loja"
"Remarks for Approval";"Observações para a aprovação"
"Remarks for Deny";"Observações para o rejeito"
"Registered Buyer";"Comprador registado"
"Search Buyer here";"Pesquisar o comprador aquí"
"User Information";"Informação de usuário"
UPDATE;Atualizações
"Address Title";"Título de endereço"
"Home Address";"Endereço residencial"
"Unit Number";"Número da unidade"
"Building Name";"Nome do prédio"
"Street Number";"Número da rua"
"Street Name";"Nome da rua"
Subdivision;Subdivisão
Province;Província
"Select your province";"Selecione a sua província"
City/Municipal;Cidade / Municipal
Barangay;Favela
"Zip Code";"Código postal"
"Registered Seller/Affiliates";"Vendedores / Afiliados registados"
"Create Voucher";"Criar vale"
Code;Código
Used;Usado
"Voucher Codes";"Códigos de vales"
"Minimum Purchase";"Mínimo de compra"
"By Batch";"Por lote"
"Disable Countdown Timer";"Desativar contador regressivo"
Orientation;Orientação 
Order;Pedido
3;3
"ex. Title";"ex. Título"
"Left to Right";"Esquerda a direita"
"Right to Left";"Direita a esquerda"
"Products Slug (separated by line break)";"Produtos brutos (separados por linhas)"
"Products List";"Listado de produtos"
"Product One";"Produto um"
"Banner Link";"Vínculo de faixa"
"Paste your Banner Links here";"copie seu vínculo de faixa aquí"
"Category Name";"Nome de categoria"
Show;Mostrar
"Category Header Link";"Vínculo de cabeçalho de categoria"
42074;42074
Time;Hora
"Pick a Date";"Escolher a data"
"Start Time";"Hora de início"
"End Time";"Hora de final"
"Flash Sales Discount";"Descontos de vendas flash"
"Flash Discounted Price";"Preço de desconto flash"
"Sales Stock";"Existências de vendas"
"P 1,000";"P 1,000"
"10% off";"10% de desconto"
"P 900";"P 900"
"ex. 10%";"ex. 10%"
"ex. 1000";"ex 1000"
"Mobile Webview (CMS)";"Webview móvel (CMS)"
"Cover Photo Link";"Vínculo de foto de capa"
"Paste Link";"Copiar vínculo"
