"Access Denied";"Accès refusé"
"Processed By";"Traitées par"
"Select type of dispute";"Sélectionnez le type de différend"
"Select status";"Sélectionnez l'État"
"No case found";"Aucun cas trouvés"
"Dispute Resolution";"Règlement des différends"
"Voucher Name";"Bon nom"
"Voucher Value";"Valeur du bon"
"Enter Dispute message here..";"Entrer le message de conflit ici.."
"Replace Different Item";"Remplacer l'élément différent"
Done;Fait
"Search for keyword: Store Name";"Recherche de mot clé : nom du magasin"
"Supplier Name";"Nom du fournisseur"
"Commission Amount";"Montant de la Commission"
PHP;PHP
"Supplier Payout Amount";"Montant de paiement fournisseur"
"Search By Invoice No. / Buyer";"Recherche par n° de facture/acheteur"
"Order Status:";"Statut de la commande:"
"Payment Type:";"Type de paiement:"
Actions:;Actions:
"Cancel Request By Buyer";"Demande d'annulation par l'acheteur"
"Cancel Product";"Annuler le produit"
None;Aucun
"Collected Amount";"Montant collecté"
"Transaction Price";"Prix de la transaction"
"Consignee Name";"Nom du destinataire"
"Consignee Contact Number";"Numéro de téléphone de destinataire"
"Buyer Details";"Détails de l'acheteur"
"Shipping Address";"Adresse d'expédition"
"Freight Charge";"Frais de transport"
"Additional Charge";"Frais additionnels"
"Seller Net";"Vendeur Net"
"Voucher Details";"Bon détails"
Attributes;Attributs
"Cancel Transaction";"Annuler la Transaction"
Deny;Nier
"Seller Details";"Détails du vendeur"
"Store Address";"Adresse de magasin"
"Remarks for Approval";"Remarques pour l'approbation"
"Remarks for Deny";"Remarques pour refuser"
"Registered Buyer";"Acheteur inscrit"
"Search Buyer here";"Recherche acheteur ici"
"User Information";"Informations utilisateur"
UPDATE;MISE À JOUR
"Address Title";"Titre de l'adresse"
"Home Address";"Adresse du domicile"
"Unit Number";"Numéro d'unité"
"Building Name";"Nom de l'immeuble"
"Street Number";"Numéro de la rue"
"Street Name";"Nom de la rue"
Subdivision;Subdivision
Province;Province
"Select your province";"Choisissez votre province"
City/Municipal;Ville/Municipal
Barangay;Barangay
"Zip Code";"Code postal"
"Registered Seller/Affiliates";"Vendeur/affiliés inscrits"
"Create Voucher";"Créer le bon"
Code;Code
Used;Utilisé
"Voucher Codes";"Codes promotionnels"
"Minimum Purchase";"Minimum d'achat"
"By Batch";"Par lot"
"Disable Countdown Timer";"Désactiver le compte à rebours"
Orientation;Orientation
Order;Ordonnance
3;3
"ex. Title";"ex. titre"
"Left to Right";"Gauche à droite"
"Right to Left";"De droite à gauche"
"Products Slug (separated by line break)";"Produits Slug (séparé par le saut de ligne)"
"Products List";"Liste de produits"
"Product One";"Produit un"
"Banner Link";"Lien de la bannière"
"Paste your Banner Links here";"Coller votre lien bannière ici"
"Category Name";"Nom de la catégorie"
Show;Voir l'établissement
"Category Header Link";"Catégorie en-tête lien"
42074;42074
Time;Temps
"Pick a Date";"Choisir une Date"
"Start Time";"Heure de début"
"End Time";"Heure de fin"
"Flash Sales Discount";"Discount vente flash"
"Flash Discounted Price";"Flash prix réduit"
"Sales Stock";"Stock vente"
"P 1,000";"P 1 000"
"10% off";"réduction de 10%"
"P 900";"P 900"
"ex. 10%";"ex. 10%"
"ex. 1000";"ex. 1000"
"Mobile Webview (CMS)";"Affichage mobile Web (CMS)"
"Cover Photo Link";"Couverture Photo lien"
"Paste Link";"Coller le lien"
