"Access Denied";"Acceso denegado"
"Payout History";"Historial de pagos"
Manufacturer;Fabricante
"Reference Number";"Número de referencia"
"Support CSR";"Soporte CSR"
"Payout Details";"Detalles de pago"
"WayBill Number";"Número de guía"
Warehouse;Almacén
"Payout Order Products";"Pago de orden de pedidos de productos "
"Deposit Slips";"Comprobante de deposito"
"Date Modified";"Fecha modificada"
Close;Cerrado
"Case ID:";"Identificación del caso:"
"Date Request";"Fecha de Solicitud"
"Date Processed";"Fecha de procesamiento"
"Processed By";"Procesado por"
"Select type of dispute";"Seleccionar el tipo de disputa"
"Select status";"Seleccionar el estado"
"No case found";"No se encontraron casos"
"Dispute Resolution";"Resolución de disputas"
"Voucher Name";"Nombre de vale"
"Voucher Value";"Valor del vale"
"Enter Dispute message here..";"Entre su mensaje de la disputa aquí .."
"Replace Different Item";"Reemplazar diferentes artículos"
Done;realizado
"Search for keyword: Store Name";"Buscar palabras clave: Nombre de la tienda"
"Supplier Name";"Nombre del proveedor"
"Commission Amount";"Monto de la Comisión"
PHP;PHP
"Supplier Payout Amount";"Pago de monto al proveedor"
"Search By Invoice No. / Buyer";"Buscar por número de factura / comprador"
"Order Status:";"Estado del pedido:"
"Payment Type:";"Tipo de pago:"
Actions:;Acción:
"Cancel Request By Buyer";"Cancelación de la solicitud por el Comprador"
"Cancel Product";"Cancelar Producto"
None;Ninguna
"Collected Amount";"Monto cobrado"
"Transaction Price";"Precio de transacción"
"Consignee Name";"Nombre del destinatario"
"Consignee Contact Number";"Número de contacto del destinatario"
"Buyer Details";"Detalles del comprador"
"Shipping Address";"dirección de envío"
"Freight Charge";"Gasto de transporte"
"Additional Charge";"Cargos adicionales"
"Seller Net";"Neto del vendedor"
"Voucher Details";"Detalles del vale"
Attributes;Atributos
"Cancel Transaction";"Cancelar Transacción"
Deny;Denegar
"Seller Details";"Detalles del vendedor"
"Store Address";"Dirección de la tienda"
"Remarks for Approval";"Observaciones para la aprobación"
"Remarks for Deny";"Observaciones para Denegación"
"Registered Buyer";"Comprador registrado"
"Search Buyer here";"Buscar Comprador aquí"
"User Information";"información del usuario"
UPDATE;ACTUALIZAR
"Address Title";"Título de dirección"
"Home Address";"Dirección de casa"
"Unit Number";"Numero de la unidad"
"Building Name";"Nombre del edificio"
"Street Number";"Número de calle"
"Street Name";"Nombre de la calle"
Subdivision;Subdivisión
Province;Provincia
"Select your province";"Seleccione su provincia"
City/Municipal;Ciudad / Municipio
Barangay;Vecindario
"Zip Code";"Código postal"
"Registered Seller/Affiliates";"Vendedor / afiliados"
"Create Voucher";"Crear vale"
Code;Código
Used;Usado
"Voucher Codes";"Los códigos de los vales"
"Minimum Purchase";"Compra mínima"
"By Batch";"Por lotes"
"Disable Countdown Timer";"Desactivar temporizador de cuenta regresiva"
Orientation;Orientación
Order;Orden de pedido
3;3
"ex. Title";"ex. Título"
"Left to Right";"De izquierda a derecha"
"Right to Left";"De derecha a izquierda"
"Products Slug (separated by line break)";"Productos Lingote (separados por salto de línea)"
"Products List";"Lista de productos"
"Product One";"Producto Uno"
"Banner Link";"Botón de Enlace"
"Paste your Banner Links here";"Pegar su bandera de enlaces aquí "
"Category Name";"Nombre de la categoría"
Show;Mostrar  
"Category Header Link";"Cabecera del Enlace"
11/03/2015;11/03/2015
Time;Hora
"Pick a Date";"Elija una fecha"
"Start Time";"Hora de inicio"
"End Time";"Hora de finalización"
"Flash Sales Discount";"Ventas con descuentos relámpago"
"Flash Discounted Price";"Precio con descuento relámpago"
"Sales Stock";"Ventas de almacenamiento"
"P 1,000";"P 1000"
"10% off";"10% de descuento"
"P 900";"P 900"
"ex. 10%";"ex. 10%"
"ex. 1000";"ex. 1000"
"Mobile Webview (CMS)";"Vista de web móvil (CMS)"
"Cover Photo Link";"Enlace de foto de cubierta"
"Paste Link";"Pegue el enlace"
