"Access Denied";"Zugriff verweigert"
Percentage;Prozentsatz
1;1
"Voucher is currently Inactive";"Gutschein ist derzeit inaktiv"
"Yes, Activate this Voucher";"Ja, dieser Gutschein aktivieren"
"Voucher is Now Active";"Gutschein ist nun aktiv"
872379000000;8.72E + 11
Unknown;Unbekannt
15.10.2010;15.10.2010
"FullName / Email";"FullName/Email"
"Remarks from Dispute";"Bemerkungen von Streit"
"Deposit Slip";"Einzahlungsschein"
Remarks:;Bemerkungen:
"Enter your remarks";"Geben Sie Ihre Anmerkungen"
"Deposit Slip:";"Einzahlungsschein:"
"Compatible files: JPG, JPEG, and PNG";"Kompatiblen Dateien: JPG, JPEG und PNG"
"Are you sure you want to refund this transaction?";"Sind Sie sicher, dass Sie diese Transaktion zurückerstattenmöchten?"
No;Nein
Yes;Ja
"Refund History Information";"Erstattung von Verlaufsdaten"
Print;Drucken
"Dispute ID:";"Streit-ID:"
"Buyer Name:";"Namen des Käufers:"
"Buyer Email:";"Käufer-Email:"
"Buyer Contact Number:";"Käufer-Kontaktnummer:"
"Date Request:";"Termin-Anfrage:"
"Date Processed:";"Datum verarbeitet:"
"Processed By:";"Bearbeitet von:"
"Click here";"Klicken Sie hier"
"Supplier Payout";"Lieferanten-Auszahlung"
"Date From";"Stammen aus"
"Date To";"Datum bis"
"Search for keyword: Manufacturer/Contact number";"Suche nach Stichwort: Hersteller/Kontakt-Anzahl"
"Payout List";"Auszahlung-Liste"
"Payout History";"Auszahlung-Geschichte"
Manufacturer;Hersteller
"Reference Number";"Referenznummer"
"Support CSR";"Unterstützung CSR"
"Payout Details";"Auszahlung-Details"
"WayBill Number";"WayBill-Nummer"
Warehouse;Lagerhaus
"Payout Order Products";"Auszahlung Produkte bestellen"
"Deposit Slips";"Einzahlungsbelege"
"Date Modified";"Zuletzt aktualisiert"
Close;Schließen
"Case ID:";"Fall-ID:"
"Date Request";"Datum Anfrage"
"Date Processed";"Datum verarbeitet"
"Processed By";"Von verarbeitet"
"Select type of dispute";"Wählen Sie Art der Streitigkeit"
"Select status";"Wählen Sie status"
"No case found";"Keinem Fall gefunden"
"Dispute Resolution";"Verfahren zur Streitbeilegung"
"Voucher Name";"Gutschein-Name"
"Voucher Value";"Gutscheinwert"
"Enter Dispute message here..";"Geben Sie hier die Streit-Nachricht.."
"Replace Different Item";"Anderes Element ersetzen"
Done;Fertig
"Search for keyword: Store Name";"Suche nach Schlagwort: Shop-Namen"
"Supplier Name";"Lieferantenname"
"Commission Amount";"Provisionsbetrag"
PHP;PHP
"Supplier Payout Amount";"Auszahlungssumme Lieferant"
"Search By Invoice No. / Buyer";"Suche nach Rechnungsnr./Käufer"
"Order Status:";"Status der Bestellung:"
"Payment Type:";"Zahlungsart:"
Actions:;Aktionen:
"Cancel Request By Buyer";"Anforderung durch den Käufer Abbrechen"
"Cancel Product";"Abbrechen-Produkt"
None;Keine
"Collected Amount";"Gesammelten Betrag"
"Transaction Price";"Transaktionspreis"
"Consignee Name";"Empfänger Name"
"Consignee Contact Number";"Kontakt-Empfänger-Nummer"
"Buyer Details";"Käuferinformationen"
"Shipping Address";"Lieferadresse"
"Freight Charge";"Frachtkosten"
"Additional Charge";"Zusätzliche Gebühr"
"Seller Net";"Verkäufer Net"
"Voucher Details";"Gutschein Details"
Attributes;Attribute
"Cancel Transaction";"Transaktion abbrechen"
Deny;Leugnen
"Seller Details";"Verkäufer-Informationen"
"Store Address";"Adresse speichern"
"Remarks for Approval";"Hinweise zur Genehmigung"
"Remarks for Deny";"Anmerkungen zu verweigern"
"Registered Buyer";"Registrierte Käufer"
"Search Buyer here";"Suche Käufer hier"
"User Information";"Benutzerinformationen"
UPDATE;UPDATEN
"Address Title";"Adresse-Titel"
"Home Address";"Home-Adresse"
"Unit Number";"Apartmentnummer"
"Building Name";"Gebäudename"
"Street Number";"Hausnummer"
"Street Name";"Straßenname"
Subdivision;Vorort
Province;Provinz
"Select your province";"Wählen Sie Ihre Provinz"
City/Municipal;Stadt/Municipal
Barangay;Barangay
"Zip Code";"PLZ"
"Registered Seller/Affiliates";"Registrierte Verkäufer/Affiliates"
"Create Voucher";"Erstellen Gutschein"
Code;Code
Used;Verwendet
"Voucher Codes";"Gutschein-Codes"
"Minimum Purchase";"Mindestabnahme"
"By Batch";"Von Batch"
"Disable Countdown Timer";"Countdowntimer deaktivieren"
Orientation;Orientierung
Order;Bestellung
3;3
"ex. Title";"z.B. Titel"
"Left to Right";"Links nach rechts"
"Right to Left";"Rechts nach links"
"Products Slug (separated by line break)";"Produkte-Slug (durch Zeilenumbruch getrennt)"
"Products List";"Produktliste"
"Product One";"Produkt 1"
"Banner Link";"Banner-Link"
"Paste your Banner Links here";"Fügen Sie hier Ihre Banner-Links"
"Category Name";"Kategorienamen"
Show;Karte
"Category Header Link";"Kategorielink Header"
11/03/2015;11/03/2015
Time;Zeit
"Pick a Date";"Wählen Sie ein Datum"
"Start Time";"Startzeit"
"End Time";"Endzeit"
"Flash Sales Discount";"Blitz-Verkauf-Rabatt"
"Flash Discounted Price";"Blitz-Sonderpreis"
"Sales Stock";"Verkauf Lager"
"P 1,000";"P 1.000"
"10% off";"10%Rabatt"
"P 900";"P 900"
"ex. 10%";"Ex.10 %"
"ex. 1000";"z.B.1000"
"Mobile Webview (CMS)";"Mobile Web-Ansicht (CMS)"
"Cover Photo Link";"Cover-Foto-Link"
"Paste Link";"Verknüpfung einfügen"
