"Access Denied";"เข้าถึงถูกปฏิเสธ"
"Select Product";"เลือกผลิตภัณฑ์"
"Enter Product Slug";"ป้อนสินค้าบุ้ง"
"Add Product";"เพิ่มผลิตภัณฑ์"
"Change Product";"เปลี่ยนผลิตภัณฑ์"
"This Promo Banner currently Disabled";"แบนเนอร์โปรโมชั่นนี้ปิดใช้งานอยู่"
"Do you want to enable it now?";"คุณต้องการเปิดใช้งานเดี๋ยวนี้หรือไม่"
"Yes, Enable this Promo Banner";"ใช่ เปิดการใช้งานแบนเนอร์โปรโมชั่นนี้"
"This Promo Banner is Enabled";"เปิดใช้งานการแบนเนอร์โปรโมชั่นนี้"
"Disable Now";"ปิดการใช้งานในขณะนี้"
"Upload Banners";"อัพโหลดแบนเนอร์"
"Upload Banners here";"อัพโหลดแบนเนอร์ที่นี่"
"Search By Product Name";"ค้นหาตามชื่อผลิตภัณฑ์"
Category:;หมวดหมู่:
Electronics;อิเล็กทรอนิกส์
Gadget;โปรแกรมเบ็ดเตล็ด
Clothes;เสื้อผ้า
Enable;เปิดใช้งาน
Disable;ปิดใช้งาน
"Banner Count";"จำนวนแบนเนอร์"
"Date Added";"วันที่เพิ่ม"
10/20/15;10/20/58
Enabled;เปิดใช้งาน
"Samsung Galaxy j1";"Samsung Galaxy j1"
5;5
Disabled;ปิดใช้งาน
"Raffle Manager";"จัดการอรร์"
"Register Raffle";"รีจิสทรีอรร์"
"Raffle Name";"โดยเฉพาะอย่างยิ่ง อรร์"
"Pool of Possible Winners";"สระว่ายน้ำหรือเป็น"
"Number of Winners to Generate";"จำนวนของผู้สร้าง"
"List of Prices";"รายการราคา"
"Raffle Lists";"ในรายการอรร์"
Raffle_Name;Raffle_Name
Winners;ผู้ชนะ
"Time Created";"เวลาสร้าง"
Prices;ราคา
2121sadasd;2121sadasd
test22;ทดสอบ 22
"2014-09-16 11:19:32";"2557-09-16 11:19:32"
"Full Name";"ชื่อเต็ม"
inonbaguio;inonbaguio
"Inon Baguio";"Inon Baguio"
Content;เนื้อหา
CSR;กิจกรรมเพื่อสังคม
Marketing;การตลาด
Super-User;ผู้ใช้ขั้นสูง
Guest;ผู้เข้าพัก
"Registered Users";"ผู้ใช้ที่ลงทะเบียน"
"Number of Registered Sellers:";"หมายเลขของผู้ขายที่จดทะเบียน:"
141;141
Affiliates;บริษัทในเครือ
"2014-07-02 14:34:28";"2557-07-02 14:34:28"
"sam gavinio";"Sam gavinio"
"Banana Republic";"สาธารณรัฐกล้วย"
38;38
"Report Manager";"โปรแกรมจัดการรายงาน"
"Number of uploaded products per account";"จำนวนผลิตภัณฑ์อัพโหลดต่อบัญชี"
"Monthly Sign Up Statistics";"สถิติการสมัครรายเดือน"
"Users w/ &amp; w/out Products";"ผู้ใช้ด้วยและแอมป์ ;w/out ผลิตภัณฑ์"
"Number of uploaded items per month";"จำนวนสินค้าอัพโหลดต่อเดือน"
"Number of items per parent category";"จำนวนสินค้าแต่ละประเภทหลัก"
"Show Entries";"แสดงรายการ"
20;20
40;40
80;80
160;160
Monthsss;Monthsss
"Sign-up Count";"จำนวนที่ลงทะเบียน"
2015;2558
January;มกราคม
29;29
February;กุมภาพันธ์
March;มีนาคม
April;เมษายน
May;อาจ
2016;2559
Month;เดือน
"Showing 1 out 39 Entries";"แสดง 1 รายการ 39"
"Dispute Details";"รายละเอียดข้อโต้แย้ง"
KD3-38U123PI;KD3-38U123PI
12371237837;12371237837
"Complainant Full Name";"เปิดเผยชื่อเต็ม"
322-3245-59898;322-3245-59898
"Defendant Full Name";"ชื่อเต็มของจำเลย"
"Janvan Ding";"สิ่ง Janvan"
"Transaction Details";"รายละเอียดเพิ่มเติมของ"
4916699163849;4916699163849
"Armando Upton";"ด็อกเตอร์อาร์มานโด Upton"
"Waiting for Payment";"รอการชำระเงิน"
"Date of transaction";"วันหรือธุรกรรม"
"2015-09-02 13:12:59";"2558-09-02 13:12:59"
"see attachments";"ดูสิ่งที่แนบมา"
x;x
Reason;เหตุผล
Open;เปิด
On-Going;จะ
Rejected;ปฏิเสธ
Closed;ปิด
"Boy Tigol";"เด็กชาย Tigol"
"George Georgina";"จอร์จจอร์จินา"
09/11/15;2542/11/15
"Search Keyword";"คำค้นหา"
"Query String";"สายอักขระแบบสอบถาม"
"Number of Hits";"จำนวน"
"apple UNION ALL SELECT NULL--";"ทั้งหมดสหภาพ Apple เลือกว่าง-"
"Transaction List";"รายการธุรกรรม"
!;!
Cancellation;การยกเลิก
"Dispute Something";"ข้อพิพาทบางอย่าง"
Flag;ค่าสถานะ
DENIED;ถูกปฏิเสธ
"Create Vourcher";"สร้าง Vourcher"
"Code Name";"ชื่อรหัส"
"Voucher Type";"ชนิดใบสำคัญ"
Duration;ระยะเวลา
"Usage Limit";"จำกัดการใช้งาน"
"Discount Type";"ชนิดส่วนลด"
Ramboo;Ramboo
"Something for Nothing";"บางสิ่งบางอย่างสำหรับอะไร"
"10 Days";"10 วัน"
"1 per Account";"1 บัญชี"
Utang;Utang
1000;1000
"Voucher Code Name";"ชื่อรหัสคูปอง"
"Voucher Code";"รหัสคูปอง"
"Generate Voucher Code";"สร้างรหัสคูปอง"
One-Time;ครั้งเดียว
Multi-Use;อเนกประสงค์
100;100
"Fixed Amount";"ยอดเงินคงที่"
Percentage;เปอร์เซ็นต์
100%;100%
"Voucher is currently Inactive";"สำคัญคือปัจจุบันไม่ได้ใช้งาน"
"Yes, Activate this Voucher";"ใช่ เปิดการใช้งานของคูปองนี้"
"Voucher is Now Active";"สำคัญอยู่ตอนนี้"
872378912897;872378912897
Unknown;ไม่รู้จัก
10/10/15;2543/10/15
"FullName / Email";"ชื่อเต็มของ/อี เมล"
"Remarks from Dispute";"หมายเหตุจากข้อโต้แย้ง"
"Deposit Slip";"ใบนำฝาก"
Remarks:;หมายเหตุ:
"Enter your remarks";"ป้อนหมายเหตุของคุณ"
"Deposit Slip:";"ฝากเงิน:"
"Compatible files: JPG, JPEG, and PNG";"ไฟล์รองรับ: JPG, JPEG และ PNG"
"Are you sure you want to refund this transaction?";"คุณแน่ใจว่าต้องคืนธุรกรรมนี้หรือไม่"
No;ไม่ใช่
Yes;ใช่
"Refund History Information";"คืนข้อมูลประวัติ"
Print;พิมพ์
"Dispute ID:";"ID ข้อโต้แย้ง:"
"Buyer Name:";"ชื่อผู้ซื้อ:"
"Buyer Email:";"ผู้ซื้ออีเมล์:"
"Buyer Contact Number:";"หมายเลขติดต่อผู้ซื้อ:"
"Date Request:";"วันร้องขอ:"
"Date Processed:";"วันที่ประมวลผล:"
"Processed By:";"ประมวลผล:"
"Click here";"คลิกที่นี่"
"Supplier Payout";"ผู้จ่ายเงิน"
"Date From";"วันที่จาก"
"Date To";"วัน"
"Search for keyword: Manufacturer/Contact number";"ค้นหาคำสำคัญ: หมายเลขติดต่อบริษัทผู้ผลิต"
"Payout List";"รายการจ่ายเงิน"
"Payout History";"ประวัติการจ่ายเงิน"
Manufacturer;ผู้ผลิต
"Reference Number";"หมายเลขอ้างอิง"
"Support CSR";"สนับสนุนกิจกรรมเพื่อสังคม"
"Payout Details";"รายละเอียดการจ่ายเงินของ"
"WayBill Number";"หมายเลขใบนำส่งสินค้า"
Warehouse;คลังสินค้า
"Payout Order Products";"ผลิตภัณฑ์ในใบสั่งจ่ายเงิน"
"Deposit Slips";"ใบนำฝาก"
"Date Modified";"วันที่ปรับเปลี่ยน"
Close;ปิด
"Case ID:";"รหัสกรณี:"
"Date Request";"วันร้องขอ"
"Date Processed";"วันที่ประมวลผล"
"Processed By";"การประมวลผล"
"Select type of dispute";"เลือกชนิดหรือข้อโต้แย้ง"
"Select status";"เลือกสถานะ"
"No case found";"กรณีไม่พบ"
"Dispute Resolution";"ข้อพิพาท"
"Voucher Name";"ชือบัตรกำนัล"
"Voucher Value";"มูลค่าคูปอง"
"Enter Dispute message here..";"ข้อโต้แย้งที่นี่..."
"Replace Different Item";"แทนที่สินค้าที่แตกต่างกัน"
Done;เสร็จแล้ว
"Search for keyword: Store Name";"ค้นหาคำ: ชื่อร้าน"
"Supplier Name";"ชื่อผู้จัดจำหน่าย"
"Commission Amount";"จำนวนคณะกรรมการ"
PHP;PHP
"Supplier Payout Amount";"ผู้จ่ายเงิน"
"Search By Invoice No. / Buyer";"ค้นหา โดยหมายเลขใบแจ้งหนี้/ผู้ซื้อ"
"Order Status:";"สถานะของใบสั่ง:"
"Payment Type:";"ชนิดการชำระเงิน:"
Actions:;การดำเนินการ:
"Cancel Request By Buyer";"ยกเลิก โดยผู้ซื้อ"
"Cancel Product";"ยกเลิกผลิตภัณฑ์"
None;ไม่มี
"Collected Amount";"รวบรวมเงิน"
"Transaction Price";"ราคาธุรกรรม"
"Consignee Name";"ชื่อผู้รับ"
"Consignee Contact Number";"หมายเลขติดต่อของผู้รับ"
"Buyer Details";"รายละเอียดผู้ซื้อ"
"Shipping Address";"ที่อยู่จัดส่ง"
"Freight Charge";"ค่าธรรมเนียมขนส่ง"
"Additional Charge";"ค่าธรรมเนียมเพิ่มเติม"
"Seller Net";"ผู้ขายสุทธิ"
"Voucher Details";"รายละเอียดใบสำคัญ"
Attributes;แอตทริบิวต์
"Cancel Transaction";"ยกเลิกธุรกรรม"
Deny;ปฏิเสธ
"Seller Details";"รายละเอียดผู้ขาย"
"Store Address";"ที่อยู่ร้าน"
"Remarks for Approval";"หมายเหตุสำหรับการอนุมัติ"
"Remarks for Deny";"หมายเหตุสำหรับการปฏิเสธ"
"Registered Buyer";"ผู้ซื้อลงทะเบียน"
"Search Buyer here";"ค้นหาผู้ซื้อที่นี่"
"User Information";"ข้อมูลผู้ใช้"
UPDATE;การปรับปรุง
"Address Title";"ชื่อที่อยู่"
"Home Address";"ที่อยู่บ้าน"
"Unit Number";"จำนวนหน่วย"
"Building Name";"ชื่ออาคาร"
"Street Number";"หมายเลขถนน"
"Street Name";"ชื่อถนน"
Subdivision;แผนผัง
Province;จังหวัด
"Select your province";"เลือกจังหวัดของคุณ"
City/Municipal;เทศบาลเมือง
Barangay;บา
"Zip Code";"รหัสไปรษณีย์"
"Registered Seller/Affiliates";"ลงทะเบียนผู้ขาย/บริษัท"
"Create Voucher";"สร้างใบสำคัญ"
Code;รหัส
Used;ใช้
"Voucher Codes";"รหัสคูปอง"
"Minimum Purchase";"ซื้อขั้นต่ำ"
"By Batch";"โดยชุดงาน"
"Disable Countdown Timer";"ปิดใช้งานการจับเวลา"
Orientation;วางแนว
Order;สั่ง
3;3
"ex. Title";"เช่นชื่อเรื่อง"
"Left to Right";"ซ้ายไปขวา"
"Right to Left";"ขวาไปซ้าย"
"Products Slug (separated by line break)";"ผลิตภัณฑ์บุ้ง (คั่น ด้วยเส้นแบ่ง)"
"Products List";"รายการผลิตภัณฑ์"
"Product One";"ผลิตภัณฑ์หนึ่ง"
"Banner Link";"ลิงค์โฆษณา"
"Paste your Banner Links here";"วางลิงค์แบนเนอร์ของคุณที่นี่"
"Category Name";"ชื่อประเภท"
Show;แสดง
"Category Header Link";"เชื่อมโยงหัวข้อประเภท"
11/03/2015;11/03/2558
Time;เวลา
"Pick a Date";"เลือกวัน"
"Start Time";"เวลาเริ่มต้น"
"End Time";"เวลาสิ้นสุด"
"Flash Sales Discount";"ส่วนลดการขายแฟลช"
"Flash Discounted Price";"แฟลชลดราคา"
"Sales Stock";"ขายหุ้น"
"P 1,000";"P 1.000"
"10% off";"ส่วนลด 10%"
"P 900";"P 900"
"ex. 10%";"เช่น 10%"
"ex. 1000";"เช่น 1000"
"Mobile Webview (CMS)";"มุมมองเว็บมือถือ (CMS)"
"Cover Photo Link";"เชื่อมโยงรูปภาพหน้าปก"
"Paste Link";"วางการเชื่อมโยง"
