"Access Denied";"Accesso negato"
Manufacturer;Produttore
"Reference Number";"Numero di Riferimento"
"Support CSR";"Supporto CSR"
"Payout Details";"Dettagli Pagamento"
"WayBill Number";"Numero di Lettera di Vettura"
Warehouse;Magazzino
"Payout Order Products";"Prodotti Ordine Pagamento"
"Deposit Slips";"Polizze Deposito"
"Date Modified";"Data di Modifica"
Close;Chiudi
"Case ID:";"ID Caso:"
"Date Request";"Data Richiesta"
"Date Processed";"Data Elaborazione"
"Processed By";"Elaborato da"
"Select type of dispute";"Seleziona il tipo di controversia"
"Select status";"Seleziona lo stato"
"No case found";"Nessun caso trovato"
"Dispute Resolution";"Risoluzione Controversia"
"Voucher Name";"Nome Voucher"
"Voucher Value";"Valore Voucher"
"Enter Dispute message here..";"Inserire qui il messaggio di Controversia..."
"Replace Different Item";"Sostituisci Articolo Diverso"
Done;Fatto
"Search for keyword: Store Name";"Ricerca per parola chiave: Nome del Negozio"
"Supplier Name";"Nome del Fornitore"
"Commission Amount";"Importo Commissione"
PHP;PHP
"Supplier Payout Amount";"Importo Pagamento Fornitore"
"Search By Invoice No. / Buyer";"Ricerca Per N. Fattura / Compratore"
"Order Status:";"Stato Ordine:"
"Payment Type:";"Tipo di Pagamento:"
Actions:;Azioni:
"Cancel Request By Buyer";"Annulla Richiesta per Compratore"
"Cancel Product";"Annulla Prodotto "
None;Nessuno
"Collected Amount";"Importo raccolto"
"Transaction Price";"Prezzo Transazione"
"Consignee Name";"Nome Destinatario"
"Consignee Contact Number";"Numero di Contatto del Destinatario"
"Buyer Details";"Dettagli Compratore "
"Shipping Address";"Indirizzo di Spedizione"
"Freight Charge";"Addebito Trasporto "
"Additional Charge";"Supplemento"
"Seller Net";"Netto Venditore  "
"Voucher Details";"Dettagli Voucher"
Attributes;Attributi
"Cancel Transaction";"Annulla Transazione"
Deny;Nega
"Seller Details";"Dettagli Venditore"
"Store Address";"Indirizzo Negozio"
"Remarks for Approval";"Osservazioni per Approvazione"
"Remarks for Deny";"Osservazioni per Negazione"
"Registered Buyer";"Acquirente Registrato"
"Search Buyer here";"Ricerca qui Acquirente"
"User Information";"Informazioni Utente"
UPDATE;AGGIORNA
"Address Title";"Titolo Indirizzo"
"Home Address";"Indirizzo Casa"
"Unit Number";"Numero Unità"
"Building Name";"Nome Edificio"
"Street Number";"Numero Civico"
"Street Name";"Nome Via"
Subdivision;Suddivisione
Province;Provincia
"Select your province";"Seleziona la tua provincia"
City/Municipal;Città/Municipio
Barangay;Barangay
"Zip Code";"Codice Postale"
"Registered Seller/Affiliates";"Venditore/affiliati registrati"
"Create Voucher";"Crea Voucher"
Code;Codice
Used;Usato
"Voucher Codes";"Codici Voucher"
"Minimum Purchase";"Acquisto Minimo"
"By Batch";"Per Serie"
"Disable Countdown Timer";"Disattiva il Timer Conto alla Rovescia"
Orientation;Orientamento
Order;Ordine
3;3
"ex. Title";"es. Titolo"
"Left to Right";"Da Sinistra a Destra"
"Right to Left";"Da destra a Sinistra"
"Products Slug (separated by line break)";"Slug Prodotti (separati da interruzione di riga)"
"Products List";"Lista Prodotti"
"Product One";"Prodotto Uno"
"Banner Link";"Link Banner"
"Paste your Banner Links here";"Incolla i tuoi Link Banner qui"
"Category Name";"Nome Categoria"
Show;Mostra
"Category Header Link";"Link Intestazione Categoria "
42074;42074
Time;Tempo
"Pick a Date";"Scegli una Data"
"Start Time";"Ora di Inizio"
"End Time";"Ora di Fine"
"Flash Sales Discount";"Sconto Vendita Flash"
"Flash Discounted Price";"Prezzo Scontato Flash"
"Sales Stock";"Vendite Stock"
"P 1,000";"P 1.000"
"10% off";"10% di sconto"
"P 900";"P 900"
"ex. 10%";"es. 10%"
"ex. 1000";"es. 1000"
"Mobile Webview (CMS)";"Visualizzazione Dispositivo Mobile (CMS)"
"Cover Photo Link";"Link Foto di Copertina"
"Paste Link";"Incolla Link"
