"Women Clothing";"เสื้อผ้าผู้หญิง"
"Before filing for a dispute, please make sure that you've exhausted all efforts in reaching an agreement with the the other party. Decisions made by our specialists will be deemed final and will only be reopened when new evidence has been presented by one of the parties. We try to resolve cases as quickly as possible, but some may take longer depending on its circumstances.";"ก่อนการยื่นข้อโต้แย้ง โปรดให้แน่ใจว่า คุณได้หมดทุกความพยายามในการเข้าถึงข้อตกลงกับบุคคลอื่น การตัดสินใจ โดยผู้เชี่ยวชาญของเราจะถือว่าสิ้นสุด และจะเท่านั้นสามารถเปิดอีกครั้งเมื่อมีการนำเสนอหลักฐานใหม่ของฝ่าย เราพยายามที่จะแก้ปัญหากรณีโดยเร็วที่สุด แต่บางคนอาจใช้เวลานานขึ้นอยู่กับสถานการณ์ของ"
"File a dispute";"แฟ้มข้อโต้แย้ง"
Cases;กรณี
"Search By Case Id";"ค้นหาตามรหัสกรณี"
Search;ค้นหา
Filter;ตัวกรอง
"Case ID";"รหัสกรณี"
"Dispute Title";"ชื่อเรื่องของข้อพิพาท"
Status;สถานะ
"Other Party";"บุคคลอื่น ๆ"
"Date Opened";"วันที่เปิด"
Open;เปิด
Closed;ปิด
"No case found";"กรณีไม่พบ"
"Enter title here";"ใส่ชื่อที่นี่"
"Dispute Type";"ชนิดข้อโต้แย้ง"
"Select dispute type here";"เลือกชนิดข้อโต้แย้งที่นี่"
"Transaction No.";"หมายเลขธุรกรรม"
"Select transaction here";"เลือกธุรกรรมที่นี่"
"Select reason here";"เหตุผลที่เลือกที่นี่"
"Select item to dispute:";"เลือกรายการการโต้แย้ง:"
Remarks;หมายเหตุ
"Leave your remarks here";"จากข้อสังเกตของคุณที่นี่"
"Your case has been successfully submitted";"กรณีของคุณมีการส่งเรียบร้อยแล้ว"
"To be approved by Admin.";"อนุมัติ โดยผู้ดูแลระบบ"
OPEN;เปิด
CLOSED;ปิด
"Dispute Details";"รายละเอียดข้อโต้แย้ง"
Reason:;เหตุผล:
Items:;รายการ:
"No remarks";"หมายเหตุไม่มี"
Contacts;ติดต่อ
Notifications;การแจ้งเตือน
"SMS Notifications";"การแจ้งเตือน SMS"
"Aside from your email, you'll also receive marketing announcements on your mobile by default. You can choose whether you want to receive SMS notifications.";"นอกเหนือจากอีเมล์ของคุณ คุณจะได้รับประกาศการตลาดบนมือถือ โดยค่าเริ่มต้น คุณสามารถเลือกว่า คุณต้องการได้รับการแจ้งเตือน SMS"
"Account setting";"บัญชีการตั้ง"
"Deactivate My Account";"ปิดใช้งานบัญชีของฉัน"
"We'd really hate to see you go but, you still get to decide whether you want to keep your account active or deactivate it. Other people with whom you have transacted with will still have a record of your transactions details including, but not limited to your name & contact number. You will also receive an email that contains a reactivation link should you wish to reactivate your account at a future time.";"เราจะเกลียดการดูไป แต่ นอกจากนี้คุณยังได้รับการตัดสินใจว่า คุณต้องการให้บัญชีของคุณใช้งาน หรือปิดใช้งาน คนอื่น ๆ ที่ต้องจัดทำ ด้วยจะยังคงมีระเบียนของรายละเอียดของรายการรวมถึง แต่ไม่จำกัดเพียงหมายเลขชื่อ และที่ติดต่อของคุณ นอกจากนี้คุณยังจะได้รับอีเมลที่ประกอบด้วยลิงค์ครั้งหากคุณต้องการเปิดใช้งานบัญชีของคุณในอนาคต"
"The password you entered is invalid.";"รหัสผ่านที่คุณป้อนไม่ถูกต้อง"
"Please enter your password to confirm your account deactivation.";"กรุณาใส่รหัสผ่านของคุณเพื่อยืนยันการปิดใช้งานบัญชีของคุณ"
Deactivate;ปิดใช้งาน
"Account has been successfully deactivated.";"บัญชีได้ถูกปิดการใช้งานเรียบร้อยแล้ว"
"A reactivation email has been to your email should you wish to reneable your account.You will be logged out now.";"เมครั้งได้รับอีเมลของคุณ หากคุณต้องการหมุนเวียนบัญชีของคุณ คุณจะถูกล็อกออกตอนนี้"
"Are you sure you want to proceed?";"คุณแน่ใจว่าต้องการดำเนินการ"
"You are about to change the subscription status of your active mobile number.";"คุณกำลังจะเปลี่ยนสถานะเป็นสมาชิกของหมายเลขโทรศัพท์ใช้งานอยู่"
"This Year";"ปีนี้"
"This Week";"สัปดาห์นี้"
"This Month";"เดือนนี้"
Date;วัน
Qty;ปริมาณ
"Payment Type";"ชนิดการชำระเงิน"
"Order Status";"สถานะของใบสั่ง"
"No transaction available";"ไม่มีธุรกรรม"
"Go Back";"ย้อนกลับ"
"Transaction Number";"หมายเลขธุรกรรม"
Details;รายละเอียด
"Payment Type:";"ชนิดการชำระเงิน:"
"Date Created:";"วันที่สร้าง:"
"Total Quantity:";"ปริมาณรวม:"
Subtotal:;ผลรวมย่อย:
"Shipping Fee:";"ค่าจัดส่ง:"
FREE;ฟรี
"Voucher Code:";"รหัสคูปอง:"
"Voucher Price Deduction:";"ใบสำคัญหัก:"
"Total Cost:";"ต้นทุน:"
"Cancel Order";"ยกเลิกใบสั่ง"
"Feedback sent";"ส่งคำติชม"
"Feedback has been successfully submitted.";"ความคิดเห็นได้ถูกส่งไปเรียบร้อยแล้ว"
Informatio;ข้อมูล
"Upload your document";"อัพโหลดเอกสารของคุณ"
"Only PDF, PNG, JPEG files are accepted";"เฉพาะ PDF, PNG, JPEG ไฟล์เป็นที่ยอมรับ"
Upload;อัปโหลด
"Uploaded Documents";"เอกสารที่อัปโหลด"
"Add a feedback to this store to let other people know what you think. Your opinions matter to us.";"เพิ่มคำติชมร้านนี้ให้คนอื่นรู้ว่าสิ่งที่คุณคิด ความเห็นของคุณสำคัญกับเรา"
"Communication Rating:";"คะแนนการสื่อสาร:"
"Quality Rating:";"การจัดอันดับคุณภาพ:"
"PROMO CODE:";"รหัส:"
"Terms and Conditions:";"ข้อกำหนดและเงื่อนไข:"
"Promo Period:";"ระยะเวลาโปรโมชั่น:"
"SIGN UP NOW";"ลงทะเบียนตอนนี้"
"SHOP NOW";"ซื้อตอนนี้"
*;*
"Store Location";"ตั้งร้านค้า"
"Need Assistance?";"ต้องการความช่วยเหลือ"
"SEND MESSAGE";"ส่งข้อความ"
"Send Message";"ส่งข้อความ"
"Enter your message here";"ข้อความที่นี่"
"Unfollow Seller";"เลิกติดตามผู้ขาย"
"Follow Seller";"ทำตามผู้ขาย"
About;เกี่ยวกับ
"What People";"สิ่งที่ผู้คน"
"Are saying";"ความคิดเห็น"
Products;ผลิตภัณฑ์
"Store Information";"จัดเก็บข้อมูล"
Feedbacks;ตอบ
"Search For Products";"ค้นหาผลิตภัณฑ์"
"Resend Email Verification";"ส่งอีเมล์ยืนยัน"
"Register | YiLinker Online.com";"ลงทะเบียน | YiLinker Online.com"
"Sign In | YiLinker Online.com";"ลงชื่อเข้าใช้ | YiLinker Online.com"
"All in one place";"ในเดียว"
"Shoes in one place";"รองเท้าในเดียว"
"Camera in one place";"กล้องในเดียว"
"Sign in";"เข้าสู่ระบบ"
Register;ลงทะเบียน
"Password reset success.";"ตั้งรหัสผ่านใหม่สำเร็จ"
"Email Verified.";"อีเมล์ยืนยัน"
"Failed merging account. Please try again later.";"ไม่รวมบัญชี โปรดลองอีกครั้ง"
"Failed merging account. Account is already registered.";"ไม่รวมบัญชี บัญชีลงทะเบียน"
"Enter your email or contact number here";"ป้อนอีเมลหรือหมายเลขติดต่อที่นี่"
"Remember Me";"จำฉันไว้"
"Forgot Password?";"ลืมรหัสผ่าน"
"Sign in with social media";"ลงชื่อเข้าใช้สื่อสังคมออนไลน์"
"Merge with Social Media Account";"ผสานกับบัญชีสื่อสังคมออนไลน์"
"Browse our products";"เรียกดูผลิตภัณฑ์ของเรา"
"Reset Password";"รีเซ็ตรหัสผ่าน"
"Featured Products";"ผลิตภัณฑ์ที่โดดเด่น"
"12% off";"ปิด 12%"
"Yilinker - Category";"Yilinker - หมวดหมู่"
"Yilinker - Daily Login";"Yilinker - ล็อกอินประจำวัน"
Mechanics:;กลศาสตร์:
"Yilinker - Flash Sales";"Yilinker - ขายแฟลช"
BUY;ซื้อ
"loading more items";"กำลังโหลดรายการ"
"Yilinker - Product list";"Yilinker - รายการสินค้า"
"Yilinker - Store";"Yilinker - ร้านค้า"
