"Women Clothing";"Quần áo phụ nữ"
"You are about to change the subscription status of your active mobile number.";"Bạn đang về để thay đổi trạng thái đăng ký số điện thoại di động của bạn hoạt động."
"This Year";"Năm nay"
"This Week";"Tuần này"
"This Month";"Tháng này"
Date;Ngày
Qty;SL
"Payment Type";"Hình thức thanh toán"
"Order Status";"Tình trạng đơn hàng"
"No transaction available";"Không có giao dịch có sẵn"
"Go Back";"Quay lại"
"Transaction Number";"Số lượng giao dịch"
Details;Thông tin chi tiết
"Payment Type:";"Hình thức thanh toán:"
"Date Created:";"Ngày tạo:"
"Total Quantity:";"Tổng số lượng:"
Subtotal:;Subtotal:
"Shipping Fee:";"Khoản phí vận chuyển:"
FREE;MIỄN PHÍ
"Voucher Code:";"Mã số phiếu:"
"Voucher Price Deduction:";"Voucher giá khấu trừ:"
"Total Cost:";"Tổng chi phí:"
"Cancel Order";"Hủy bỏ đơn đặt hàng"
"Feedback sent";"Gửi phản hồi"
"Feedback has been successfully submitted.";"Phản hồi đã được gửi thành công."
Informatio;Informatio
"Upload your document";"Tải lên các tài liệu của bạn"
"Only PDF, PNG, JPEG files are accepted";"Chỉ PDF, PNG, JPEG tập tin được chấp nhận"
Upload;Tải lên
"Uploaded Documents";"Tài liệu được tải lên"
"Add a feedback to this store to let other people know what you think. Your opinions matter to us.";"Thêm một thông tin phản hồi để cửa hàng này để cho người khác biết những gì bạn nghĩ. Ý kiến của bạn quan trọng với chúng tôi."
"Communication Rating:";"Đánh giá thông tin liên lạc:"
"Quality Rating:";"Đánh giá chất lượng:"
"PROMO CODE:";"PROMO MÃ SỐ:"
"Terms and Conditions:";"Điều khoản và điều kiện:"
"Promo Period:";"Thời gian quảng cáo:"
"SIGN UP NOW";"ĐĂNG KÝ BÂY GIỜ"
"SHOP NOW";"CỬA HÀNG BÂY GIỜ"
*;*
"Store Location";"Vị trí cửa hàng"
"Need Assistance?";"Cần trợ giúp?"
"SEND MESSAGE";"GỬI TIN NHẮN"
"Send Message";"Gửi tin nhắn"
"Enter your message here";"Tin nhắn của bạn ở đây"
"Unfollow Seller";"Unfollow người bán"
"Follow Seller";"Theo người bán"
About;Về
"What People";"Những gì mọi người"
"Are saying";"Đang nói"
Products;Sản phẩm
"Store Information";"Lưu trữ thông tin"
Feedbacks;Thông tin phản hồi
"Search For Products";"Tìm kiếm sản phẩm"
"Resend Email Verification";"Gửi lại Email xác minh"
"Register | YiLinker Online.com";"Đăng ký | YiLinker Online.com"
"Sign In | YiLinker Online.com";"Đăng nhập | YiLinker Online.com"
"All in one place";"Tất cả ở một nơi"
"Shoes in one place";"Giày ở một nơi"
"Camera in one place";"Camera ở một nơi"
"Sign in";"Đăng nhập"
Register;Đăng ký
"Password reset success.";"Đặt lại mật khẩu thành công."
"Email Verified.";"Email xác nhận."
"Failed merging account. Please try again later.";"Không thể hợp nhất tài khoản. Xin vui lòng thử lại sau."
"Failed merging account. Account is already registered.";"Không thể hợp nhất tài khoản. Tài khoản đã được đăng ký."
"Enter your email or contact number here";"Nhập email hoặc số liên lạc của bạn"
"Remember Me";"Ghi nhớ tôi"
"Forgot Password?";"Quên mật khẩu?"
"Sign in with social media";"Đăng nhập với xã hội truyền thông"
"Merge with Social Media Account";"Kết hợp với tài khoản truyền thông xã hội"
"Browse our products";"Duyệt sản phẩm"
"Reset Password";"Đặt lại mật khẩu"
"Featured Products";"Sản phẩm nổi bật"
"12% off";"12% off"
"Yilinker - Category";"Yilinker - thể loại"
"Yilinker - Daily Login";"Yilinker - đăng nhập hàng ngày"
Mechanics:;Cơ học:
"Yilinker - Flash Sales";"Yilinker - Flash Sales"
BUY;mua sắm
"loading more items";"tải thêm các mục"
"Yilinker - Product list";"Yilinker - danh sách sản phẩm"
"Yilinker - Store";"Yilinker - cửa hàng"
