"Women Clothing";"FemmesVêtements"	
"Camera in one place";"Caméra en un seul endroit"	
"Sign in";"Connexion"	
Register;S'inscrire	
"Password reset success.";"Mot de passe réinitialisé le succès."	
"Email Verified.";"Courriel vérifiée."	
"Failed merging account. Please try again later.";"Échec de fusion compte. Veuillez réessayer ultérieurement."	
"Failed merging account. Account is already registered.";"Échec de fusion compte. Compte est déjà enregistré."	
"Enter your email or contact number here";"Entrez votre e-mail ou numéro de téléphone ici"	
"Remember Me";"Se souvenir de moi"	
"Forgot Password?";"Mot de passe oublié?"	
"Sign in with social media";"Connectez-vous à l'aide des médias sociaux"	
"Merge with Social Media Account";"Fusionner avec le compte de médias sociaux"	
"Browse our products";"Parcourir nos produits"	
"Reset Password";"Réinitialiser mot de passe"	
"Featured Products";"Coups de coeur"	
"12% off";"réduction de 12%"	
"Yilinker - Category";"Yilinker - catégorie"	
"Yilinker - Daily Login";"Yilinker - connexion quotidienne"	
Mechanics:;Mécanique:	
"Yilinker - Flash Sales";"Yilinker - ventes Flash"	
BUY;ACHETER	
"loading more items";"Chargez le plus"	
"Yilinker - Product list";"Yilinker - liste des produits"	
"Yilinker - Store";"Yilinker - Sagasin"	
