"Women Clothing"; "Pakaian perempuan"
"Store Information"; "Menyimpan informasi"
Feedbacks;Masukan
"Search For Products"; "Mencari produk"
"Resend Email Verification"; "Kirim ulang Email verifikasi"
"Register | YiLinker Online.com"; "Mendaftar | YiLinker Online.com"
"Sign In | YiLinker Online.com"; "Masuk | YiLinker Online.com"
"All in one place"; "Semua dalam satu tempat"
"Shoes in one place"; "Sepatu di satu tempat"
"Camera in one place"; "Kamera di satu tempat"
"Sign in"; "Tandatangan"
Register;Daftar
"Password reset success."; "Reset sandi sukses."
"Email Verified."; "Email diverifikasi."
"Failed merging account. Please try again later."; "Gagal penggabungan akun. Harap coba lagi nanti."
"Failed merging account. Account is already registered."; "Gagal penggabungan akun. Akun ini telah terdaftar."
"Enter your email or contact number here"; "Masukkan email Anda atau nomor kontak berikut"
"Remember Me"; "Ingat saya"
"Forgot Password?"; "Lupa Sandi?"
"Sign in with social media"; "Masuk dengan media sosial"
"Merge with Social Media Account"; "Menggabungkan dengan Account Media sosial"
"Browse our products"; "Browse produk kami"
"Reset Password"; "Membuat ulang sandi"
"Featured Products"; "Menampilkan produk"
"12% off"; "12% diskon"
"Yilinker - Category"; "Yilinker - Kategori"
"Yilinker - Daily Login"; "Yilinker - harian Login"
Mechanics:;Mekanika:
"Yilinker - Flash Sales"; "Yilinker - Flash penjualan"
BUY;BELI
"loading more items"; "memuat lebih banyak item"
"Yilinker - Product list"; "Yilinker - daftar produk"
"Yilinker - Store"; "Yilinker - Toko"
