"Women Clothing";"Pakaian wanita"
Products;Produk
"Store Information";"Menyimpan maklumat"
Feedbacks;Maklum balas
"Search For Products";"Carian produk"
"Resend Email Verification";"Hantar e-mel pengesahan"
"Register | YiLinker Online.com";"Mendaftar | YiLinker Online.com"
"Sign In | YiLinker Online.com";"Masuk | YiLinker Online.com"
"All in one place";"Semua dalam satu tempat"
"Shoes in one place";"Kasut di satu tempat"
"Camera in one place";"Kamera di satu tempat"
"Sign in";"daftar masuk"
Register;Mendaftar
"Password reset success.";"Kata laluan set semula kejayaan."
"Email Verified.";"E-mel yang disahkan."
"Failed merging account. Please try again later.";"Gagal penggabungan akaun. Sila cuba lagi nanti."
"Failed merging account. Account is already registered.";"Gagal penggabungan akaun. Akaun sudah berdaftar."
"Enter your email or contact number here";"Masukkan e-mel atau nombor telefon di sini anda"
"Remember Me";"Ingat saya"
"Forgot Password?";"Terlupa kata laluan?"
"Sign in with social media";"Daftar Masuk dengan media sosial"
"Merge with Social Media Account";"Bergabung dengan akaun Media sosial"
"Browse our products";"Lihat senarai produk kami"
"Reset Password";"Set semula kata laluan"
"Featured Products";"Produk yang diketengahkan"
"12% off";"12% off"
"Yilinker - Category";"Yilinker - kategori"
"Yilinker - Daily Login";"Yilinker - harian Login"
Mechanics:;Mekanik:
"Yilinker - Flash Sales";"Yilinker - jualan kilat"
BUY;MEMBELI
"loading more items";"memuatkan barang-barang lebih banyak"
"Yilinker - Product list";"Yilinker - senarai produk"
"Yilinker - Store";"Yilinker - kedai"
